latitude,longitude,staff,postal_code,available,capacity,cost_per_unit,total,supports_upi,supports_cash,supports_card,supports_wallet,payment_methods,is_24x7,open_hour,close_hour,supports_2W,supports_3W,supports_4W,power_type_AC,power_type_AC/DC,power_type_DC,zone_central delhi,zone_east delhi,zone_north delhi,zone_north east delhi,zone_north west delhi,zone_south delhi,zone_south east delhi,zone_south west delhi,zone_west delhi,charger_type_5A/15A Socket,charger_type_AC001,charger_type_CCS/ CHAdeMO,charger_type_CCS2,charger_type_CCS2/CHADEMO/TYPE 2 AC,charger_type_CHAdeMO,charger_type_DC,charger_type_DC001,charger_type_Type 2,charger_type_battery_swapping,vendor_name_BLUSMART,vendor_name_BSES,vendor_name_BluSmart,vendor_name_E-Fill Electric,vendor_name_EEE,vendor_name_EESL,vendor_name_ElectriVa,vendor_name_GensolCharge Pvt. Ltd.,vendor_name_HPCL,vendor_name_JBM Renewables,vendor_name_PlugNgo,vendor_name_Powerbank,vendor_name_Pvt. Ltd.,vendor_name_REIL,vendor_name_REVOS,vendor_name_Smart E,vendor_name_Sun Mobility,vendor_name_TPDDL,vendor_name_Verdemobility
28.580532,77.221048,0,110003,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.584365,77.22054,0,110003,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.577259,77.19692,0,110023,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.585298,77.191008,0,110021,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.601809,77.186432,0,110021,2.0,15.0,10.0,2.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.633733,77.22353,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.632973,77.222937,0,110001,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.630256,77.225668,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.63363,77.221949,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.633867,77.22191,0,110001,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.6001517,77.2157617,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.631584,77.2219,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.633841,77.217664,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.634388,77.221038,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.63491,77.219522,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.621724,77.219286,0,110001,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.633614,77.207691,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.624419,77.213718,0,110001,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.600234,77.2135299,0,110003,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
